id,autodel_analysis_age_limit,autodel_analysis_limit,autodel_overwrite_global,created,description_xml,last_analysis_id,name_xml,next_sequence_id,parent_id,path_xml
304,"","",False,2018-08-01 12:26:58.439246+09:00,"",1303,Tc_DAB_180801,5,1,/Tc_DAB_180801
306,"","",False,2018-08-01 14:19:34.852429+09:00,"",1288,jnk-kernel,2,1,/jnk-kernel
308,"","",False,2018-08-01 14:42:34.534043+09:00,"",1294,wyplay-package,5,1,/wyplay-package
314,"","",False,2018-08-07 18:15:04.480103+09:00,"",1316,ALS_TMPlayer_180807,9,1,/ALS_TMPlayer_180807
326,"","",False,2018-08-21 12:06:18.400319+09:00,"",1345,mali_codesonar,2,1,/mali_codesonar
330,"","",False,2018-09-18 12:25:34.067318+09:00,"",9482,make,5,1,/make
335,"","",False,2018-09-28 10:15:11.184817+09:00,"",1394,TCC803x_MICOM_V140_20180928,2,1,/TCC803x_MICOM_V140_20180928
336,"","",False,2018-10-02 14:48:41.527352+09:00,"",1555,Heron_ADS_TEST_20181002,8,1,/Heron_ADS_TEST_20181002
343,"","",False,2018-11-19 14:21:12.668271+09:00,"",1456,MMT_JPU_C6_ARM32,13,1,/MMT_JPU_C6_ARM32
344,"","",False,2018-11-19 14:26:04.110893+09:00,"",1506,MMT_VPU_D6_ARM32,12,1,/MMT_VPU_D6_ARM32
345,"","",False,2018-11-19 14:28:58.535376+09:00,"",1471,MMT_HEVC_D8_ARM32,8,1,/MMT_HEVC_D8_ARM32
346,"","",False,2018-11-20 11:16:19.541238+09:00,"",1477,MMT_VPU_C7_ARM32,7,1,/MMT_VPU_C7_ARM32
347,"","",False,2018-11-20 14:54:58.121459+09:00,"",1487,MMT_VPU_4K_D2_ARM32,11,1,/MMT_VPU_4K_D2_ARM32
348,"","",False,2018-11-20 18:12:12.987248+09:00,"",1489,MMT_HEVC_D9_ARM32,3,1,/MMT_HEVC_D9_ARM32
349,"","",False,2018-11-20 20:06:37.083448+09:00,"",1491,MMT_JPU_C6_ARM64,3,1,/MMT_JPU_C6_ARM64
350,"","",False,2018-11-20 20:24:15.930869+09:00,"",1494,MMT_VPU_C7_ARM64,4,1,/MMT_VPU_C7_ARM64
351,"","",False,2018-11-20 20:40:58.507831+09:00,"",1497,MMT_HEVC_D8_ARM64,4,1,/MMT_HEVC_D8_ARM64
352,"","",False,2018-11-21 11:24:59.419709+09:00,"",1500,MMT_VPU_4K_D2_ARM64,4,1,/MMT_VPU_4K_D2_ARM64
